Id;LotArea;OverallQual;YearBuilt;BsmtFinSF1;TotalBsmtSF;1stFlrSF;GrLivArea;FullBath;GarageCars;GarageArea;SalePrice
1;8450;7;2003;706;856;856;1710;2;2;548;208500
2;9600;6;1976;978;1262;1262;1262;2;2;460;181500
3;11250;7;2001;486;920;920;1786;2;2;608;223500
4;9550;7;1915;216;756;961;1717;1;3;642;140000
5;14260;8;2000;655;1145;1145;2198;2;3;836;250000
6;14115;5;1993;732;796;796;1362;1;2;480;143000
7;10084;8;2004;1369;1686;1694;1694;2;2;636;307000
8;10382;7;1973;859;1107;1107;2090;2;2;484;200000
9;6120;7;1931;0;952;1022;1774;2;2;468;129900
10;7420;5;1939;851;991;1077;1077;1;1;205;118000
11;11200;5;1965;906;1040;1040;1040;1;1;384;129500
12;11924;9;2005;998;1175;1182;2324;3;3;736;345000
13;12968;5;1962;737;912;912;912;1;1;352;144000
14;10652;7;2006;0;1494;1494;1494;2;3;840;279500
15;10920;6;1960;733;1253;1253;1253;1;1;352;157000
16;6120;7;1929;0;832;854;854;1;2;576;132000
17;11241;6;1970;578;1004;1004;1004;1;2;480;149000
18;10791;4;1967;0;0;1296;1296;2;2;516;90000
19;13695;5;2004;646;1114;1114;1114;1;2;576;159000
20;7560;5;1958;504;1029;1339;1339;1;1;294;139000
21;14215;8;2005;0;1158;1158;2376;3;3;853;325300
22;7449;7;1930;0;637;1108;1108;1;1;280;139400
23;9742;8;2002;0;1777;1795;1795;2;2;534;230000
24;4224;5;1976;840;1040;1060;1060;1;2;572;129900
25;8246;5;1968;188;1060;1060;1060;1;1;270;154000
26;14230;8;2007;0;1566;1600;1600;2;3;890;256300
27;7200;5;1951;234;900;900;900;1;2;576;134800
28;11478;8;2007;1218;1704;1704;1704;2;3;772;306000
29;16321;5;1957;1277;1484;1600;1600;1;1;319;207500
30;6324;4;1927;0;520;520;520;1;1;240;68500
31;8500;4;1920;0;649;649;1317;1;1;250;40000
32;8544;5;1966;0;1228;1228;1228;1;1;271;149350
33;11049;8;2007;0;1234;1234;1234;2;2;484;179900
34;10552;5;1959;1018;1398;1700;1700;1;2;447;165500
35;7313;9;2005;1153;1561;1561;1561;2;2;556;277500
36;13418;8;2004;0;1117;1132;2452;3;3;691;309000
37;10859;5;1994;0;1097;1097;1097;1;2;672;145000
38;8532;5;1954;1213;1297;1297;1297;1;2;498;153000
39;7922;5;1953;731;1057;1057;1057;1;1;246;109000
40;6040;4;1955;0;0;1152;1152;2;0;0;82000
41;8658;6;1965;643;1088;1324;1324;2;2;440;160000
42;16905;5;1959;967;1350;1328;1328;1;1;308;170000
43;9180;5;1983;747;840;884;884;1;2;504;144000
44;9200;5;1975;280;938;938;938;1;1;308;130250
45;7945;5;1959;179;1150;1150;1150;1;1;300;141000
46;7658;9;2005;456;1752;1752;1752;2;2;576;319900
47;12822;7;2003;1351;1434;1518;2149;1;2;670;239686
48;11096;8;2006;24;1656;1656;1656;2;3;826;249700
49;4456;4;1920;0;736;736;1452;2;0;0;113000
50;7742;5;1966;763;955;955;955;1;1;386;127000
51;13869;6;1997;182;794;794;1470;2;2;388;177000
52;6240;6;1934;0;816;816;1176;1;2;528;114500
53;8472;5;1963;104;816;816;816;1;2;516;110000
54;50271;9;1981;1810;1842;1842;1842;0;3;894;385000
55;7134;5;1955;384;384;1360;1360;1;2;572;130000
56;10175;6;1964;490;1425;1425;1425;2;2;576;180500
57;2645;8;1999;649;970;983;1739;2;2;480;172500
58;11645;7;2004;0;860;860;1720;2;2;565;196500
59;13682;10;2006;0;1410;1426;2945;3;3;641;438780
60;7200;5;1972;632;780;780;780;1;1;352;124900
61;13072;6;2004;941;1158;1158;1158;1;2;576;158000
62;7200;5;1920;0;530;581;1111;1;1;288;101000
63;6442;8;2006;24;1370;1370;1370;2;2;484;202500
64;10300;7;1921;0;576;902;1710;2;2;480;140000
